Tamanho da amostra,Estratégia,Tempo de execução (ns)
2,order_and_select,5147.0
2,quickselect,24146.0
2,quickselect_median_of_medians,32550.0
4,order_and_select,6453.0
4,quickselect,25170.0
4,quickselect_median_of_medians,31740.0
8,order_and_select,12387.0
8,quickselect,81796.0
8,quickselect_median_of_medians,60732.0
16,order_and_select,27161.0
16,quickselect,86008.0
16,quickselect_median_of_medians,92538.0
32,order_and_select,65074.0
32,quickselect,125938.0
32,quickselect_median_of_medians,217490.0
128,order_and_select,464410.0
128,quickselect,934838.0
128,quickselect_median_of_medians,1396608.0
256,order_and_select,1022697.0
256,quickselect,1587632.0
256,quickselect_median_of_medians,3259436.0
512,order_and_select,2738617.0
512,quickselect,6900586.0
512,quickselect_median_of_medians,6956904.0
1024,order_and_select,6935271.0
1024,quickselect,17400852.0
1024,quickselect_median_of_medians,31753040.0
2048,order_and_select,21013876.0
2048,quickselect,87282522.0
2048,quickselect_median_of_medians,74306868.0
4096,order_and_select,86253331.0
4096,quickselect,333050976.0
4096,quickselect_median_of_medians,286801760.0
8192,order_and_select,297230438.0
8192,quickselect,1436888598.0
8192,quickselect_median_of_medians,1160522556.0
16384,order_and_select,886877863.0
16384,quickselect,4867496592.0
16384,quickselect_median_of_medians,3872570792.0
