Tamanho da amostra,Estratégia,Tempo de execução (ns)
2,order_and_select,25200.0
2,quickselect,45400.0
2,quickselect_median_of_medians,28620.0
4,order_and_select,8705.0
4,quickselect,24300.0
4,quickselect_median_of_medians,27970.0
8,order_and_select,18695.0
8,quickselect,55830.0
8,quickselect_median_of_medians,53940.0
16,order_and_select,61495.0
16,quickselect,249540.0
16,quickselect_median_of_medians,190450.0
32,order_and_select,217470.0
32,quickselect,265280.0
32,quickselect_median_of_medians,249940.0
128,order_and_select,5163355.0
128,quickselect,3164260.0
128,quickselect_median_of_medians,1574520.0
256,order_and_select,20857480.0
256,quickselect,10650160.0
256,quickselect_median_of_medians,10441750.0
512,order_and_select,79799035.0
512,quickselect,31718400.0
512,quickselect_median_of_medians,34801990.0
1024,order_and_select,382706355.0
1024,quickselect,119965460.0
1024,quickselect_median_of_medians,80129570.0
2048,order_and_select,1466924330.0
2048,quickselect,628439180.0
2048,quickselect_median_of_medians,259756780.0
